,Does he have health probems ?,Does he have social family problems?,Is there a variation between his real qualifications and its results?,Does he have any difficulties?,Does your child avoid activities that require reading to complete?,he ?it fast/slow while reading ?,"When reading aloud, does your child repeat words, change their order, or mix up similar letters (?\ or ?\? or ?\? or p/b or f/v or k/g/jÉ) without notice?",Does he have trouble reading unknown words?,Does he face difficulty understanding what he read?,Does he reflect numbers? {Ex 81 -> 18},Does he have trouble writing numbers clearly and distinctly from letters?,Does he make misspellings in his homework?,Is he having trouble writing on the line and inside the margins?,Does he have a problem copying?,Does it confuse symbols and/or mathematical operations?,Does he have trouble comparing the relative size of integers and/or fractions?,Does he have difficulties with concepts related to time and/or money?,Is it difficult to understand the statement of calculations and solve it?,Is he having difficulties in calculating? {Facing problems in performing arithmetic operations such as addition and subtraction ...},Is he having trouble maintaining attention for more than 15 minutes?,It takes a long time to complete simple tasks?,Does he have a hard time bearing boredom or strenuous tasks?,TypeTrouble
813,No,No,No,In all materials,Sometimes,Average,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Type_dysgraphie
814,Yeah,No,Yeah,In all materials,Repeatedly / always,Average,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Type_dyslexie
815,No,Yeah,Yeah,In all materials,Sometimes,Slow,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Type_dyslexie
816,No,No,No,In all materials,Sometimes,Average,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Type_dysgraphie
817,No,Yeah,No,In particular article,Sometimes,Average,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Type_dyscalculie
818,No,Yeah,No,In particular article,Sometimes,Slow,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Concentration
819,No,No,No,In particular article,Sometimes,Fast,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Type_dyscalculie
820,Yeah,Yeah,Yeah,In all materials,Sometimes,Slow,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Concentration
821,Yeah,No,No,In all materials,Sometimes,Fast,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Concentration
822,Yeah,Yeah,No,In all materials,Sometimes,Average,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
823,Yeah,No,No,In all materials,Rarely / never,Slow,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
824,Yeah,No,Yeah,In particular article,Repeatedly / always,Average,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
825,Yeah,No,Yeah,In all materials,Sometimes,Average,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
826,No,No,Yeah,In particular article,Sometimes,Slow,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Type_dyscalculie
827,No,No,No,In particular article,Repeatedly / always,Fast,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Type_dysgraphie
828,Yeah,No,Yeah,In all materials,Rarely / never,Slow,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dyscalculie
829,No,Yeah,Yeah,In particular article,Repeatedly / always,Slow,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Concentration
830,No,Yeah,No,In all materials,Rarely / never,Average,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Type_dyscalculie
831,Yeah,No,No,In all materials,Rarely / never,Slow,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
832,Yeah,Yeah,Yeah,In all materials,Rarely / never,Fast,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Concentration
833,No,Yeah,No,In particular article,Rarely / never,Average,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
834,Yeah,No,No,In particular article,Repeatedly / always,Fast,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Type_dysgraphie
835,No,No,No,In particular article,Sometimes,Slow,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
836,No,Yeah,No,In particular article,Sometimes,Slow,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Type_dyslexie
837,Yeah,No,Yeah,In all materials,Rarely / never,Average,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Type_dyscalculie
838,No,Yeah,Yeah,In particular article,Repeatedly / always,Fast,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Type_dyslexie
839,Yeah,No,Yeah,In particular article,Repeatedly / always,Average,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Type_dyslexie
840,No,Yeah,No,In all materials,Sometimes,Slow,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dysgraphie
841,No,No,No,In particular article,Repeatedly / always,Slow,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
842,No,Yeah,Yeah,In particular article,Sometimes,Fast,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Concentration
843,No,Yeah,No,In particular article,Rarely / never,Average,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Type_dyscalculie
844,No,No,Yeah,In all materials,Sometimes,Fast,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Concentration
845,No,Yeah,Yeah,In all materials,Sometimes,Fast,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Type_dysgraphie
846,No,No,No,In particular article,Repeatedly / always,Fast,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Type_dyscalculie
847,No,Yeah,Yeah,In all materials,Rarely / never,Average,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Type_dysgraphie
848,Yeah,No,No,In all materials,Rarely / never,Fast,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Type_dysgraphie
849,Yeah,Yeah,No,In all materials,Rarely / never,Average,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Type_dyscalculie
850,Yeah,Yeah,Yeah,In particular article,Sometimes,Fast,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Type_dysgraphie
851,No,Yeah,Yeah,In all materials,Sometimes,Average,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Type_dyscalculie
852,No,No,No,In particular article,Sometimes,Fast,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
853,No,No,Yeah,In particular article,Repeatedly / always,Average,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Type_dysgraphie
854,Yeah,Yeah,No,In particular article,Rarely / never,Fast,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Concentration
855,Yeah,No,Yeah,In particular article,Sometimes,Slow,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Type_dyscalculie
856,Yeah,No,Yeah,In all materials,Repeatedly / always,Slow,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
857,No,No,Yeah,In particular article,Sometimes,Fast,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Type_dyscalculie
858,No,No,No,In all materials,Repeatedly / always,Slow,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Type_dyslexie
859,No,No,Yeah,In particular article,Sometimes,Fast,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Type_dyscalculie
860,No,Yeah,Yeah,In particular article,Repeatedly / always,Fast,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Type_dysgraphie
861,No,No,Yeah,In all materials,Rarely / never,Fast,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Type_dyscalculie
862,No,No,No,In all materials,Rarely / never,Fast,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Type_dysgraphie
863,No,Yeah,Yeah,In particular article,Sometimes,Slow,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Type_dyscalculie
864,Yeah,No,No,In particular article,Repeatedly / always,Slow,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Type_dysgraphie
865,No,Yeah,No,In all materials,Repeatedly / always,Fast,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Type_dyscalculie
866,No,Yeah,No,In all materials,Rarely / never,Fast,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Type_dysgraphie
867,No,Yeah,Yeah,In particular article,Rarely / never,Average,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Type_dysgraphie
868,No,Yeah,No,In particular article,Repeatedly / always,Fast,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
869,No,No,Yeah,In all materials,Rarely / never,Average,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Type_dyscalculie
870,Yeah,No,No,In particular article,Rarely / never,Fast,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dysgraphie
